"Week_start_dates","Bakery","Dry_and_baking","Dairy","Canned","Frozen","Beverages","Health_and_beauty","Produce"
2010-01-03,152.42,131.64,110.06,80.77,80.91,69.91,49.74,9.05
2010-01-10,133.97,115.85,118.81,96.28,74.86,74.72,46.22,6.45
2010-01-17,133.06,109.31,117.26,84.14,83.92,59.45,49.63,4.59
2010-01-24,123.4,117.5,106.67,98.91,68.44,58.14,56.62,20.36
2010-01-31,134.3,103.8,103.13,78.03,68.85,75.66,50.67,8.19
2010-02-07,144.49,109.77,91.96,70.86,65.39,65.1,41.82,7.35
2010-02-14,123.24,99.99,84.19,61.61,63.22,61.1,38.72,6.28
2010-02-21,129.22,114.61,99.75,95.5,80.11,60.06,35.87,10
2010-02-28,132.3,115.43,85.19,96.81,65.74,69.42,37.67,8.85
2010-03-07,113.24,110.12,79.12,79.47,61.28,49.79,38.04,14.86
2010-03-14,123.45,119.21,99.21,73.93,54.56,51.46,37.93,13.08
2010-03-21,115.64,105.41,93.01,75.8,67.72,52.09,29.94,10.27
2010-03-28,135.16,100.9,96.03,77.7,64.45,55.14,40.85,12.32
2010-04-04,132.08,91.97,97.59,67.28,68.8,47.16,33.34,5.49
2010-04-11,105.77,81.62,76.18,76.72,67.67,52.24,34.53,5.58
2010-04-18,121.89,105.45,85.97,76.6,55.56,48.2,29.33,20.02
2010-04-25,110.56,95.71,73.75,72.27,60.14,47.11,25.81,11.53
2010-05-02,119.42,98.63,97.23,66.45,66.29,51.23,35.83,4.39
2010-05-09,134.43,111.89,90.61,67.19,63.26,53.04,36.45,14.46
2010-05-16,123.58,95.91,86.21,62.12,62.02,49.25,34.31,15.9
2010-05-23,116.82,102.61,97.59,78.06,71.38,61.3,37.24,8.22
2010-05-30,118.4,110.41,95.42,68.38,56.41,55.62,39.46,12.83
2010-06-06,134.74,105.64,105.42,80.12,77.08,71.23,38.66,13.33
2010-06-13,112.7,106.12,98.24,76.28,69.23,59.61,40.47,19.07
2010-06-20,118.67,104.24,91.24,84.79,66.95,64.07,44.11,15.19
2010-06-27,119.92,102.47,101.09,81.16,70.41,59.98,42.71,15.57
2010-07-04,142.25,114.57,111.71,80.99,70.76,77.67,50.24,10.45
2010-07-11,125.88,111.21,113.27,94.3,87.29,64.34,46.21,8.17
2010-07-18,145.42,117.92,103.19,91.95,71.33,59.23,54.07,9.13
2010-07-25,125.17,102.35,102.73,80.46,72.11,73.66,47.44,12.29
2010-08-01,133.83,122.36,118.46,94.44,93.89,86.96,64.87,13.98
2010-08-08,146.02,132.34,115.21,96.1,91.16,91.37,63.55,11.01
2010-08-15,141.62,135.72,118.03,93.18,95.05,87.39,59.65,16.41
2010-08-22,149.54,135.82,122.26,102.6,85.45,87.4,61.3,13.85
2010-08-29,155.54,137.06,127.52,98.27,95.74,74.76,61.97,12.8
2010-09-05,162.81,153.02,152.47,124.52,125.16,109.99,93.23,12.38
2010-09-12,175.5,156.36,148.04,144.11,125.73,107.36,89.24,12.21
2010-09-19,177.29,154.97,142.23,131.07,121.29,100.89,89.89,17.54
2010-09-26,182.87,160.57,132.8,127.11,120.72,108.99,85.15,15.64
2010-10-03,263.7,260.35,222.25,208.03,199.23,186.51,170.54,173.3
2010-10-10,244.63,231.05,225.18,209.7,193.97,186.4,168.58,168.22
2010-10-17,260.15,237.23,227.19,209.86,208.49,190.58,165.85,176.46
2010-10-24,246.86,250.27,238.95,206.39,190.41,184.19,170.23,168.33
2010-10-31,261.01,230.65,230.1,202.1,201.23,182.98,166.05,171.92
2010-11-07,170.18,161.31,155.16,132.57,108.15,110.06,89.77,17.57
2010-11-14,172.48,168.38,157.75,118.19,118.87,109.83,89.98,7.7
2010-11-21,186.88,152.12,142.19,140.82,126.88,122.52,87.06,12.58
2010-11-28,172.08,152.68,150.29,133.2,114.32,106.7,82.08,12.86
2010-12-05,150.56,127.19,120.86,100.48,89.11,86.36,64.93,12.14
2010-12-12,145.35,124.33,132.91,98.57,88.44,88.16,61.38,9.73
2010-12-19,160.87,115.78,107.62,105.26,92.24,89.27,65.41,5.21
2010-12-26,144.47,135.01,106.03,99.24,81.72,72.77,60.85,4.35
2011-01-02,172.15,157.96,155.23,129.26,107.12,102.59,88.61,11.79
2011-01-09,182.29,155.07,143.41,131.01,117.93,109.85,87.67,10.4
2011-01-16,165.23,151.8,147.35,121.22,114.48,109.28,84.93,16.17
2011-01-23,180.4,162.92,129.44,135.22,121.65,115.38,86.24,12.91
2011-01-30,176.9,172.1,136.78,121.74,114.56,107.64,90.47,10.48
2011-02-06,150.96,152.63,138.5,104.41,103.39,93.33,66.88,16.99
2011-02-13,165.02,130.05,135.54,107.92,99.79,93.89,79.87,15.13
2011-02-20,161.15,137.11,127.02,111.91,106,80.42,71.1,12.47
2011-02-27,143.17,143.96,129.53,119.86,104.18,87,68.82,13.39
2011-03-06,140.51,147.42,125.36,100.14,89.15,79.5,62.02,14.68
2011-03-13,137.85,142.15,117,89.23,90.35,83.67,64.99,3.76
2011-03-20,181.54,111.77,118.32,103.66,86.75,80.89,65.37,5.05
2011-03-27,151.86,141.53,111.15,109.52,86.84,87.3,58.76,15.41
2011-04-03,137.78,127.74,101.22,88.56,77.39,76.42,58.79,15.12
2011-04-10,134.68,119.4,119.56,111.38,83.9,77.04,55.31,8.55
2011-04-17,130.74,116.24,104.63,94.7,89.75,71.84,53.81,10.49
2011-04-24,140.5,122.29,123.65,82.02,86.2,81.69,48.62,5.81
2011-05-01,167.73,146.43,127,95.05,90.19,83.33,68.12,14.38
2011-05-08,146,134.36,130.17,99.69,83.07,75.58,60.21,13.15
2011-05-15,147.29,136.29,111.68,93.61,93.69,82.6,65.91,22.18
2011-05-22,164.18,141.43,104.67,96.36,94.78,81.25,56.4,12.97
2011-05-29,153.32,121.9,94.46,101.75,90.37,88.87,65.97,5.38
2011-06-05,147,127.87,126.01,104.92,108.64,97.82,74.18,10.84
2011-06-12,157.39,134.18,131.19,96.8,95.2,92.83,72.31,12.17
2011-06-19,144.78,138.34,134.77,119.21,104.15,83.91,70.01,9.78
2011-06-26,157.14,140.98,130.22,108.52,101.06,93.51,74.25,12.36
2011-07-03,189.83,159.65,159.47,123.68,129.5,110.5,91.93,10.98
2011-07-10,173.23,155.99,147.49,135.94,114.23,105,87.78,11.41
2011-07-17,172.38,154.48,145.55,126.51,117.56,118.16,84.55,13.67
2011-07-24,171.11,156.53,136.18,133.23,126.23,101.94,92.7,11.85
2011-07-31,169.03,160.77,146.53,129.2,114.74,116.52,89.79,10.95
2011-08-07,203.49,191.04,178.12,154.81,139.52,134.07,117.14,9.46
2011-08-14,192.57,173.21,174.16,160.15,144.21,139.13,119.12,6.71
2011-08-21,197.54,182.09,189.79,164.69,137.4,136.37,116.41,17.98
2011-08-28,207.07,193.39,174.6,146.1,143.64,130.07,122.38,14.78
2011-09-04,254.2,232.34,229.83,204.42,195.38,190.47,178.66,13.07
2011-09-11,270.83,234.6,236.81,213.42,190.29,192.09,170.46,13.22
2011-09-18,258.02,240.45,236.82,219.18,204.08,183.29,166.74,8.99
2011-09-25,249.27,235.84,233.6,199.68,194.3,179.7,170.4,9.84
2011-10-02,413.63,392.9,390.41,368.13,366.38,345.44,333.08,337.7
2011-10-09,428.43,389.4,380.12,371.2,363.33,350.34,332.71,334.09
2011-10-16,425.97,397.84,381.66,356.16,366.21,344.29,333.63,329.81
2011-10-23,419.53,399.79,389.47,367.66,353.75,353.01,332.11,329.65
2011-10-30,428.94,392.55,393.44,369.15,357.19,347.99,329.93,333.83
2011-11-06,242.4,233.88,217.43,204.29,190.18,184.93,170.29,17.76
2011-11-13,250.57,230.51,226.22,204.95,194.08,187.79,167.45,16.36
2011-11-20,252.91,252.82,230.93,199.74,194.4,187.18,171.66,16.37
2011-11-27,252.16,251.37,224.43,218.49,196.09,190.59,170.84,15.58
2011-12-04,204.48,189.67,157.11,159.13,142.48,143.23,113.42,14.87
2011-12-11,194.38,180.72,185.99,169.06,149.83,121.86,115.34,7.07
2011-12-18,197.39,193.16,184.39,148.73,143.54,139.18,111.14,14.2
2011-12-25,197.1,183.73,189.19,142.36,154.62,127.2,118.17,10.37
2012-01-01,173.61,172.92,158.58,156.92,125.03,116.65,105.91,11.73
2012-01-08,179.49,168.42,127.52,138.17,139.89,114.04,102.57,8.51
2012-01-15,182.1,164.61,160.57,131.13,126.8,116.09,97.42,9.76
2012-01-22,195.61,163.58,154.83,142.36,130.52,121.06,95.8,10.73
2012-01-29,179.35,168.14,181.9,145.47,126.36,126.63,100.73,15.34
2012-02-05,172.61,154.47,153.65,124.08,119.73,97.92,83.32,10.47
