Week_start_dates,Month,Year
2010-01-03,1,2010
2010-01-10,1,2010
2010-01-17,1,2010
2010-01-24,1,2010
2010-01-31,1,2010
2010-02-07,2,2010
2010-02-14,2,2010
2010-02-21,2,2010
2010-02-28,2,2010
2010-03-07,3,2010
2010-03-14,3,2010
2010-03-21,3,2010
2010-03-28,3,2010
2010-04-04,4,2010
2010-04-11,4,2010
2010-04-18,4,2010
2010-04-25,4,2010
2010-05-02,5,2010
2010-05-09,5,2010
2010-05-16,5,2010
2010-05-23,5,2010
2010-05-30,5,2010
2010-06-06,6,2010
2010-06-13,6,2010
2010-06-20,6,2010
2010-06-27,6,2010
2010-07-04,7,2010
2010-07-11,7,2010
2010-07-18,7,2010
2010-07-25,7,2010
2010-08-01,8,2010
2010-08-08,8,2010
2010-08-15,8,2010
2010-08-22,8,2010
2010-08-29,8,2010
2010-09-05,9,2010
2010-09-12,9,2010
2010-09-19,9,2010
2010-09-26,9,2010
2010-10-03,10,2010
2010-10-10,10,2010
2010-10-17,10,2010
2010-10-24,10,2010
2010-10-31,10,2010
2010-11-07,11,2010
2010-11-14,11,2010
2010-11-21,11,2010
2010-11-28,11,2010
2010-12-05,12,2010
2010-12-12,12,2010
2010-12-19,12,2010
2010-12-26,12,2010
2011-01-02,1,2011
2011-01-09,1,2011
2011-01-16,1,2011
2011-01-23,1,2011
2011-01-30,1,2011
2011-02-06,2,2011
2011-02-13,2,2011
2011-02-20,2,2011
2011-02-27,2,2011
2011-03-06,3,2011
2011-03-13,3,2011
2011-03-20,3,2011
2011-03-27,3,2011
2011-04-03,4,2011
2011-04-10,4,2011
2011-04-17,4,2011
2011-04-24,4,2011
2011-05-01,5,2011
2011-05-08,5,2011
2011-05-15,5,2011
2011-05-22,5,2011
2011-05-29,5,2011
2011-06-05,6,2011
2011-06-12,6,2011
2011-06-19,6,2011
2011-06-26,6,2011
2011-07-03,7,2011
2011-07-10,7,2011
2011-07-17,7,2011
2011-07-24,7,2011
2011-07-31,7,2011
2011-08-07,8,2011
2011-08-14,8,2011
2011-08-21,8,2011
2011-08-28,8,2011
2011-09-04,9,2011
2011-09-11,9,2011
2011-09-18,9,2011
2011-09-25,9,2011
2011-10-02,10,2011
2011-10-09,10,2011
2011-10-16,10,2011
2011-10-23,10,2011
2011-10-30,10,2011
2011-11-06,11,2011
2011-11-13,11,2011
2011-11-20,11,2011
2011-11-27,11,2011
2011-12-04,12,2011
2011-12-11,12,2011
2011-12-18,12,2011
2011-12-25,12,2011
2012-01-01,1,2012
2012-01-08,1,2012
2012-01-15,1,2012
2012-01-22,1,2012
2012-01-29,1,2012
2012-02-05,2,2012
2012-02-12,2,2012
2012-02-19,2,2012
2012-02-26,2,2012
2012-03-04,3,2012
2012-03-11,3,2012
2012-03-18,3,2012
2012-03-25,3,2012
2012-04-01,4,2012
2012-04-08,4,2012
2012-04-15,4,2012
2012-04-22,4,2012
2012-04-29,4,2012
2012-05-06,5,2012
2012-05-13,5,2012
2012-05-20,5,2012
2012-05-27,5,2012
2012-06-03,6,2012
2012-06-10,6,2012
2012-06-17,6,2012
2012-06-24,6,2012
2012-07-01,7,2012
2012-07-08,7,2012
2012-07-15,7,2012
2012-07-22,7,2012
2012-07-29,7,2012
2012-08-05,8,2012
2012-08-12,8,2012
2012-08-19,8,2012
2012-08-26,8,2012
2012-09-02,9,2012
2012-09-09,9,2012
2012-09-16,9,2012
2012-09-23,9,2012
2012-09-30,9,2012
2012-10-07,10,2012
2012-10-14,10,2012
2012-10-21,10,2012
2012-10-28,10,2012
2012-11-04,11,2012
2012-11-11,11,2012
2012-11-18,11,2012
2012-11-25,11,2012
2012-12-02,12,2012
2012-12-09,12,2012
2012-12-16,12,2012
2012-12-23,12,2012
2012-12-30,12,2012
2013-01-06,1,2013
2013-01-13,1,2013
2013-01-20,1,2013
2013-01-27,1,2013
2013-02-03,2,2013
2013-02-10,2,2013
2013-02-17,2,2013
2013-02-24,2,2013
2013-03-03,3,2013
2013-03-10,3,2013
2013-03-17,3,2013
2013-03-24,3,2013
2013-03-31,3,2013
2013-04-07,4,2013
2013-04-14,4,2013
2013-04-21,4,2013
2013-04-28,4,2013
2013-05-05,5,2013
2013-05-12,5,2013
2013-05-19,5,2013
2013-05-26,5,2013
2013-06-02,6,2013
2013-06-09,6,2013
2013-06-16,6,2013
2013-06-23,6,2013
2013-06-30,6,2013
2013-07-07,7,2013
2013-07-14,7,2013
2013-07-21,7,2013
2013-07-28,7,2013
2013-08-04,8,2013
2013-08-11,8,2013
2013-08-18,8,2013
2013-08-25,8,2013
2013-09-01,9,2013
2013-09-08,9,2013
2013-09-15,9,2013
2013-09-22,9,2013
2013-09-29,9,2013
2013-10-06,10,2013
2013-10-13,10,2013
2013-10-20,10,2013
2013-10-27,10,2013
2013-11-03,11,2013
2013-11-10,11,2013
2013-11-17,11,2013
2013-11-24,11,2013
2013-12-01,12,2013
2013-12-08,12,2013
2013-12-15,12,2013
2013-12-22,12,2013
2013-12-29,12,2013
2014-01-05,1,2014
2014-01-12,1,2014
2014-01-19,1,2014
2014-01-26,1,2014
2014-02-02,2,2014
2014-02-09,2,2014
2014-02-16,2,2014
2014-02-23,2,2014
2014-03-02,3,2014
2014-03-09,3,2014
2014-03-16,3,2014
2014-03-23,3,2014
2014-03-30,3,2014
2014-04-06,4,2014
2014-04-13,4,2014
2014-04-20,4,2014
2014-04-27,4,2014
2014-05-04,5,2014
2014-05-11,5,2014
2014-05-18,5,2014
2014-05-25,5,2014
